"scenario","run","method","ARI","NMI","seconds"
"irregular",18,"longTAPIO-first",0.525063503907208,0.61222460084717,2.69400000000314
"irregular",18,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.69499999999243
"irregular",18,"clusterMLD",0.973336788403479,0.96449558524095,1.91300000000047
"irregular",18,"kml3d",0.986598879940902,0.982247792620475,0.51600000000326
"irregular",19,"longTAPIO-random_weighted",0.909639572316645,0.90399402466179,2.71499999999651
"irregular",19,"longTAPIO-random_weighted_95",0.973336788403479,0.96449558524095,2.53800000000047
"irregular",19,"longTAPIO-first",0.397786042011025,0.47090024232888,2.69099999999162
"irregular",19,"longTAPIO-screened",0.909639572316645,0.90399402466179,2.71499999999651
"irregular",19,"clusterMLD",0.946845436694979,0.940459429685181,2.01200000000244
"irregular",19,"kml3d",0.986598879940902,0.982247792620475,0.49299999998766
"irregular",20,"longTAPIO-random_weighted",0.960072855731098,0.946815517423222,2.80400000000373
"irregular",20,"longTAPIO-random_weighted_95",0.895863215233736,0.89984921693916,2.99499999999534
"irregular",20,"longTAPIO-first",0.680381913462171,0.678169516534218,2.86800000000221
"irregular",20,"longTAPIO-screened",0.960072855731098,0.946815517423222,2.80400000000373
"irregular",20,"clusterMLD",0.947079615562234,0.92921194872835,1.95700000000943
"irregular",20,"kml3d",0.973466666666667,0.964639864364545,0.501999999993131
"irregular",21,"longTAPIO-random_weighted",0.960078340434069,0.951672652983974,2.48400000001129
"irregular",21,"longTAPIO-random_weighted_95",0.960078340434069,0.951672652983974,2.54400000000896
"irregular",21,"longTAPIO-first",0.404127702821271,0.464086716415991,2.68099999999686
"irregular",21,"longTAPIO-screened",0.960078340434069,0.951672652983974,2.48400000001129
"irregular",21,"clusterMLD",0.960630467282476,0.958419782247625,1.90499999999884
"irregular",21,"kml3d",0.920855063093638,0.903568978280547,0.511000000013155
"irregular",22,"longTAPIO-random_weighted",0.920692544361958,0.898778201092742,2.69100000000617
"irregular",22,"longTAPIO-random_weighted_95",0.907645209310657,0.903319297889457,2.54599999998754
"irregular",22,"longTAPIO-first",0.621257096920062,0.636570435647873,2.69400000000314
"irregular",22,"longTAPIO-screened",0.920692544361958,0.898778201092742,2.69100000000617
"irregular",22,"clusterMLD",0.960630467282476,0.958419782247625,1.99199999999837
"irregular",22,"kml3d",0.934402129254618,0.922987507050373,0.534999999988941
"irregular",23,"longTAPIO-random_weighted",0.960338099219033,0.946961268985173,2.70699999999488
"irregular",23,"longTAPIO-random_weighted_95",0.960338099219033,0.946961268985173,2.54899999999907
"irregular",23,"longTAPIO-first",0.391086243611448,0.44841189190146,2.69000000000233
"irregular",23,"longTAPIO-screened",0.960338099219033,0.946961268985173,2.70699999999488
"irregular",23,"clusterMLD",0.973466666666667,0.964639864364545,1.97400000000198
